In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
63;109;8;29;18;5;32;42;0;0;0;0
55;106;5;49;7;14;8;81;0;0;0;0
34;115;33;110;6;2;114;127;0;0;0;0
28;4;25;34;11;3;106;22;0;0;0;0
44;59;25;15;2;45;127;127;0;0;0;0
108;106;70;107;32;19;8;50;0;0;0;0
49;12;15;18;0;0;93;120;0;0;0;0
1;46;26;24;15;16;6;127;0;0;0;0
64;60;31;12;3;23;120;79;0;0;0;0
127;127;42;111;34;21;34;59;0;0;0;0
94;116;70;69;2;31;100;34;0;0;0;0
45;92;46;16;22;4;76;47;0;0;0;0
127;127;79;100;9;24;62;102;0;0;0;0
21;87;69;98;4;19;57;30;0;0;0;0
26;15;3;14;58;7;111;36;0;0;0;0
43;111;17;124;77;9;60;90;0;0;0;0
79;2;45;92;45;12;82;66;0;0;0;0
19;95;77;17;47;36;2;119;0;0;0;0
81;105;44;25;37;19;82;6;0;0;0;0
10;27;32;66;117;41;37;10;0;0;0;0
127;127;101;13;38;50;127;86;0;0;0;0
117;127;28;54;2;33;102;100;0;0;0;0
127;113;31;34;10;66;127;127;0;0;0;0
47;105;31;11;19;22;53;44;0;0;0;0
68;122;23;22;3;47;92;118;0;0;0;0
8;97;47;11;8;24;31;50;0;0;0;0
48;109;1;0;0;29;29;49;0;0;0;0
98;90;34;19;5;9;32;70;0;0;0;0
67;113;28;39;10;11;31;35;0;0;0;0
20;12;16;93;80;16;27;12;0;0;0;0
3;6;80;104;104;26;41;37;0;0;0;0
8;50;48;16;127;28;56;23;0;0;0;0
21;22;127;63;3;19;2;8;0;0;0;0
17;115;70;6;6;2;5;3;0;0;0;0
5;14;106;89;14;32;6;19;0;0;0;0
64;91;92;25;7;1;16;6;0;0;0;0
57;65;96;20;42;40;42;40;0;0;0;0
39;1;34;8;30;23;45;108;0;0;0;0
50;3;7;19;2;2;111;127;0;0;0;0
93;111;15;12;16;33;69;118;0;0;0;0
2;10;30;106;43;19;20;5;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
