In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
95;85;10;40;0;8;36;121;0;0;0;0
22;100;11;12;0;15;48;120;0;0;0;0
69;59;8;18;40;18;18;109;0;0;0;0
106;127;37;40;7;9;1;122;0;0;0;0
115;2;21;110;18;20;8;44;0;0;0;0
78;127;59;80;8;12;5;117;0;0;0;0
2;81;49;16;11;39;127;127;0;0;0;0
19;127;124;76;41;37;124;27;0;0;0;0
118;117;34;73;13;10;30;77;0;0;0;0
127;127;111;66;5;39;92;127;0;0;0;0
54;68;117;87;0;5;36;62;0;0;0;0
9;117;33;89;24;19;80;86;0;0;0;0
24;102;18;26;24;7;47;118;0;0;0;0
87;16;66;51;34;1;62;109;0;0;0;0
91;127;57;20;5;22;10;111;0;0;0;0
1;74;101;61;6;40;80;62;0;0;0;0
98;94;33;100;12;26;17;74;0;0;0;0
62;7;7;36;21;1;23;109;0;0;0;0
103;127;38;103;1;26;76;110;0;0;0;0
127;94;119;106;72;75;122;1;0;0;0;0
24;68;75;127;7;10;6;26;0;0;0;0
23;40;29;100;18;8;16;88;0;0;0;0
23;55;46;70;31;8;79;107;0;0;0;0
18;127;110;127;119;52;16;43;0;0;0;0
0;9;2;58;3;14;34;127;0;0;0;0
1;6;44;27;33;23;120;116;0;0;0;0
127;55;35;56;4;28;112;72;0;0;0;0
62;99;49;40;4;26;82;58;0;0;0;0
16;14;7;22;4;1;17;127;0;0;0;0
14;30;103;40;3;3;0;127;0;0;0;0
32;55;96;118;33;36;6;30;0;0;0;0
17;9;35;99;3;6;1;43;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
