In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
-6;-11;51;99;-51;-19;-15;-10;0;0;0;0
52;111;71;23;63;40;22;24;0;0;0;0
20;56;-123;112;3;11;7;7;0;0;0;0
-27;-20;127;-68;-88;-43;-23;-18;0;0;0;0
16;-3;9;20;7;11;109;40;0;0;0;0
-14;-30;127;-68;-99;-30;-9;-7;0;0;0;0
-26;-58;98;28;-76;-30;-14;-13;0;0;0;0
21;50;81;97;30;19;9;12;0;0;0;0
-93;-103;-61;98;9;-13;-19;-32;0;0;0;0
-116;100;-2;-51;-6;-4;2;-122;0;0;0;0
94;11;-49;-83;-6;12;41;29;0;0;0;0
55;63;4;-51;-16;20;58;127;0;0;0;0
-101;-75;97;114;54;11;-51;-125;0;0;0;0
-15;109;58;26;16;17;18;85;0;0;0;0
-35;100;-9;-28;-17;16;54;127;0;0;0;0
112;-29;8;92;13;11;85;117;0;0;0;0
