In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
-49;-39;96;-35;-23;-8;-36;-30;0;0;0;0
117;123;4;-27;-19;-3;23;30;0;0;0;0
28;127;37;-19;-3;10;100;104;0;0;0;0
92;30;20;103;99;41;86;127;0;0;0;0
69;84;5;41;6;12;93;102;0;0;0;0
11;68;1;-68;-55;13;105;127;0;0;0;0
-98;96;-1;-90;16;0;-90;-97;0;0;0;0
127;127;0;24;-46;4;85;-27;0;0;0;0
-24;-10;124;50;8;-4;40;127;0;0;0;0
6;95;18;95;-1;27;26;40;0;0;0;0
36;-23;-19;-40;-13;-19;99;127;0;0;0;0
27;48;24;-22;9;34;98;127;0;0;0;0
99;116;-78;70;-45;-4;94;105;0;0;0;0
73;122;104;66;3;16;60;127;0;0;0;0
-30;37;37;-42;-8;-5;-93;96;0;0;0;0
24;127;-11;95;-14;13;64;54;0;0;0;0
12;14;107;21;13;8;8;15;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
