In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
127;127;65;28;11;19;46;127;0;0;0;0
96;43;17;73;17;7;66;80;0;0;0;0
47;127;39;11;24;29;96;81;0;0;0;0
90;65;13;8;12;7;19;108;0;0;0;0
117;73;17;41;15;6;16;28;0;0;0;0
79;44;34;127;13;15;14;120;0;0;0;0
93;127;69;20;5;36;88;8;0;0;0;0
112;127;91;54;9;11;27;70;0;0;0;0
127;98;52;50;43;62;99;127;0;0;0;0
109;127;11;66;5;19;1;13;0;0;0;0
51;55;66;45;23;17;82;127;0;0;0;0
69;47;10;127;23;2;1;59;0;0;0;0
127;100;47;69;21;42;127;127;0;0;0;0
2;58;2;107;5;12;55;81;0;0;0;0
127;95;97;8;0;20;127;127;0;0;0;0
91;117;56;127;15;6;39;127;0;0;0;0
49;127;42;48;23;33;40;3;0;0;0;0
93;38;40;45;26;1;63;67;0;0;0;0
47;102;52;50;1;10;33;127;0;0;0;0
17;107;71;62;19;23;27;127;0;0;0;0
16;37;28;108;51;17;33;1;0;0;0;0
0;4;42;93;11;5;29;2;0;0;0;0
20;24;96;1;13;10;27;9;0;0;0;0
0;32;48;107;25;11;18;4;0;0;0;0
5;12;38;127;9;3;9;8;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
