In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
127;-17;-7;-72;-7;17;84;69;0;0;0;0
94;70;68;127;26;10;38;102;0;0;0;0
106;127;98;122;29;49;22;-93;0;0;0;0
-121;-116;-29;54;14;22;-36;127;0;0;0;0
73;118;36;-20;-11;9;30;50;0;0;0;0
89;93;1;67;-31;-57;-65;-60;0;0;0;0
7;112;-5;58;-7;-6;12;-53;0;0;0;0
-7;-5;127;22;-17;-5;-5;-2;0;0;0;0
16;36;86;127;17;11;8;11;0;0;0;0
-49;-65;126;39;-25;-39;-25;-31;0;0;0;0
-27;-76;127;-128;0;-4;-7;-15;0;0;0;0
61;-36;-25;-16;-8;7;127;125;0;0;0;0
-12;-19;-40;-7;-11;-1;26;106;0;0;0;0
37;-5;-16;-14;-3;-16;17;94;0;0;0;0
-18;1;6;-1;-3;28;91;67;0;0;0;0
4;29;122;118;33;8;8;4;0;0;0;0
-77;49;14;107;11;-7;-50;-33;0;0;0;0
104;96;4;-18;6;8;24;59;0;0;0;0
-102;-4;-34;93;-10;0;14;-17;0;0;0;0
88;127;44;5;0;-6;-13;-7;0;0;0;0
18;127;-4;44;-12;-6;127;94;0;0;0;0
107;127;11;127;-6;24;101;9;0;0;0;0
16;127;80;127;-3;46;127;127;0;0;0;0
36;127;11;-27;-32;-17;-5;-74;0;0;0;0
31;-3;-5;-88;21;34;103;45;0;0;0;0
-65;-60;14;113;-2;1;9;-48;0;0;0;0
-32;-2;-26;-88;98;35;-33;-28;0;0;0;0
58;37;127;56;11;17;43;39;0;0;0;0
6;16;-38;103;34;14;4;5;0;0;0;0
-4;17;117;43;-7;-6;-8;-9;0;0;0;0
55;116;-128;-29;-42;16;13;23;0;0;0;0
27;65;118;126;23;12;7;11;0;0;0;0
-12;11;17;19;8;26;-128;92;0;0;0;0
-50;-52;-41;-31;-10;6;-80;92;0;0;0;0
19;57;-13;108;26;10;0;5;0;0;0;0
24;69;127;-57;11;3;5;9;0;0;0;0
20;66;-40;127;26;17;9;10;0;0;0;0
-33;-7;-1;-15;-19;-71;101;35;0;0;0;0
125;3;4;6;-8;15;-50;8;0;0;0;0
41;24;-3;-3;-1;1;110;-21;0;0;0;0
12;37;101;1;-17;6;7;2;0;0;0;0
24;76;-12;127;37;16;6;9;0;0;0;0
-5;4;121;11;-29;-13;-6;-4;0;0;0;0
2;16;72;100;8;-3;-4;-3;0;0;0;0
1;17;105;-36;10;5;3;-1;0;0;0;0
7;6;92;27;5;3;3;5;0;0;0;0
1;4;39;127;5;2;-2;1;0;0;0;0
