In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
127;127;12;97;40;6;98;31;1;0;0;0
127;127;56;41;44;29;81;103;1;0;0;0
127;127;55;67;43;59;13;59;1;0;0;0
119;127;51;70;24;23;66;123;1;0;0;0
111;127;8;114;53;61;127;115;1;0;0;0
111;127;52;127;52;5;40;127;1;0;0;0
109;127;14;16;6;3;40;7;1;0;0;0
104;127;30;27;47;2;105;59;1;0;0;0
103;127;56;127;64;16;36;107;1;0;0;0
99;127;64;77;31;1;53;33;1;0;0;0
82;127;5;47;33;12;24;39;1;0;0;0
69;127;65;80;32;38;111;66;1;0;0;0
47;127;34;57;37;4;54;49;1;0;0;0
45;127;43;5;4;7;74;5;1;0;0;0
42;127;9;46;13;24;127;127;1;0;0;0
38;127;8;88;9;1;127;127;1;0;0;0
21;127;13;127;43;39;88;72;1;0;0;0
20;127;33;12;21;10;81;11;1;0;0;0
1;127;16;35;48;10;79;31;1;0;0;0
21;126;26;91;14;22;16;28;1;0;0;0
120;124;14;57;50;38;127;42;1;0;0;0
71;121;63;127;43;9;30;53;1;0;0;0
36;119;7;40;22;2;86;7;1;0;0;0
2;119;13;13;9;8;1;11;1;0;0;0
88;114;48;80;19;44;127;127;1;0;0;0
123;113;4;71;15;12;29;100;1;0;0;0
74;111;27;115;4;47;127;127;1;0;0;0
15;109;40;78;37;20;17;91;1;0;0;0
127;108;64;41;1;40;118;104;1;0;0;0
40;107;40;6;32;12;42;109;1;0;0;0
122;105;30;109;4;6;127;127;1;0;0;0
31;105;2;67;46;24;40;82;1;0;0;0
65;103;7;22;43;17;29;44;1;0;0;0
46;103;29;109;31;19;51;82;1;0;0;0
95;102;44;75;37;1;28;27;1;0;0;0
112;100;28;109;30;13;4;17;1;0;0;0
23;100;27;72;13;33;127;88;1;0;0;0
112;95;32;10;14;28;121;105;1;0;0;0
127;94;60;56;55;43;20;69;1;0;0;0
109;94;19;66;8;11;35;35;1;0;0;0
72;85;18;127;24;11;22;56;1;0;0;0
95;81;57;108;17;16;75;3;1;0;0;0
23;81;4;122;33;11;17;5;1;0;0;0
127;80;40;15;5;5;11;19;1;0;0;0
111;80;9;54;44;18;77;13;1;0;0;0
49;78;46;119;46;21;46;7;1;0;0;0
18;78;25;127;5;3;6;42;1;0;0;0
127;66;10;77;64;10;66;4;1;0;0;0
120;62;21;127;58;66;80;61;1;0;0;0
42;58;31;127;38;1;2;8;1;0;0;0
103;53;30;63;29;7;44;43;1;0;0;0
113;51;33;16;13;23;70;127;1;0;0;0
106;51;17;127;74;15;53;102;1;0;0;0
127;49;48;4;31;48;73;89;1;0;0;0
33;47;14;114;58;2;51;29;1;0;0;0
127;44;11;125;67;10;82;124;1;0;0;0
119;42;15;105;21;45;127;88;1;0;0;0
39;42;25;114;30;8;57;27;1;0;0;0
109;40;20;93;18;14;3;86;1;0;0;0
7;38;0;121;34;25;47;27;1;0;0;0
13;36;8;104;18;4;56;17;1;0;0;0
114;28;6;9;44;11;10;68;1;0;0;0
108;28;36;56;36;19;46;123;1;0;0;0
13;25;30;118;49;64;16;85;1;0;0;0
21;22;35;110;65;17;29;53;1;0;0;0
109;20;26;71;38;17;1;18;1;0;0;0
101;20;34;126;60;52;127;127;1;0;0;0
89;18;59;115;50;36;60;89;1;0;0;0
8;18;38;106;25;8;35;7;1;0;0;0
113;17;3;127;10;31;38;127;1;0;0;0
96;13;10;104;14;7;24;14;1;0;0;0
85;12;56;127;34;63;38;96;1;0;0;0
33;12;47;121;2;36;7;33;1;0;0;0
72;11;59;127;71;10;53;37;1;0;0;0
92;127;48;4;7;2;17;14;1;0;0;0
118;104;25;18;4;2;1;17;1;0;0;0
15;18;88;104;16;5;4;1;1;0;0;0
104;103;11;11;9;8;19;43;1;0;0;0
77;127;48;15;24;15;13;29;1;0;0;0
12;108;14;14;5;5;1;22;1;0;0;0
97;108;9;31;20;12;14;39;1;0;0;0
1;3;6;24;3;1;1;3;0;0;0;1
0;0;7;24;11;0;1;1;0;0;0;1
2;0;41;40;5;3;3;0;0;0;0;1
0;1;40;3;0;2;2;2;0;0;0;1
7;35;36;12;4;3;3;2;0;0;0;1
2;2;36;22;2;1;1;1;0;0;0;1
2;2;30;18;0;0;2;0;0;0;0;1
1;6;30;21;5;3;0;1;0;0;0;1
1;4;30;20;2;0;0;0;0;0;0;1
4;6;27;16;7;3;2;2;0;0;0;1
1;3;27;16;1;2;4;5;0;0;0;1
1;1;27;62;8;5;2;2;0;0;0;1
1;3;25;41;5;3;1;2;0;0;0;1
0;5;25;22;2;3;1;0;0;0;0;1
2;1;25;3;1;2;1;2;0;0;0;1
4;5;25;32;10;5;3;3;0;0;0;1
0;11;25;4;1;1;1;1;0;0;0;1
0;3;24;4;3;1;1;1;0;0;0;1
2;5;23;22;2;2;2;1;0;0;0;1
0;1;23;8;4;0;0;0;0;0;0;1
2;1;18;26;7;2;2;2;0;0;0;1
3;3;17;29;11;3;1;3;0;0;0;1
1;2;17;11;1;0;1;2;0;0;0;1
3;3;16;13;2;2;3;2;0;0;0;1
3;3;16;28;5;2;3;0;0;0;0;1
2;3;16;3;0;1;0;0;0;0;0;1
1;8;15;14;0;0;0;0;0;0;0;1
3;3;15;8;1;3;3;2;0;0;0;1
1;0;15;13;11;1;1;1;0;0;0;1
2;2;15;57;6;5;3;1;0;0;0;1
1;2;15;5;1;1;2;0;0;0;0;1
0;3;14;15;3;2;0;1;0;0;0;1
0;1;13;8;0;0;1;2;0;0;0;1
3;4;13;4;6;1;0;1;0;0;0;1
2;5;12;37;1;3;1;0;0;0;0;1
0;3;12;1;3;1;1;2;0;0;0;1
0;0;12;17;3;1;2;2;0;0;0;1
2;1;12;9;2;2;0;2;0;0;0;1
2;5;12;10;4;0;1;2;0;0;0;1
2;8;11;32;1;3;2;1;0;0;0;1
1;3;11;9;5;3;2;1;0;0;0;1
3;5;11;22;4;0;2;1;0;0;0;1
3;5;11;18;1;0;1;1;0;0;0;1
3;17;11;6;1;2;1;1;0;0;0;1
3;3;10;14;1;1;2;3;0;0;0;1
2;1;10;8;8;1;1;0;0;0;0;1
2;3;10;8;0;0;0;2;0;0;0;1
1;0;10;6;3;1;0;2;0;0;0;1
1;4;10;4;2;1;3;1;0;0;0;1
3;8;9;12;4;2;2;2;0;0;0;1
0;1;9;0;3;5;1;1;0;0;0;1
2;1;9;8;8;3;1;1;0;0;0;1
2;2;9;10;9;4;2;1;0;0;0;1
3;10;9;36;9;1;3;3;0;0;0;1
1;3;9;11;10;1;2;2;0;0;0;1
1;3;8;23;6;2;0;0;0;0;0;1
2;3;8;6;1;1;0;0;0;0;0;1
0;8;8;8;3;3;0;2;0;0;0;1
1;4;8;22;3;0;1;0;0;0;0;1
1;1;7;16;2;1;3;1;0;0;0;1
1;4;7;8;1;1;2;2;0;0;0;1
0;2;5;2;1;1;0;1;0;0;0;1
2;1;5;9;0;2;2;0;0;0;0;1
4;5;5;38;12;8;2;3;0;0;0;1
1;0;5;16;3;3;1;0;0;0;0;1
1;1;5;7;3;1;0;2;0;0;0;1
0;1;5;2;3;1;0;1;0;0;0;1
2;3;5;5;1;1;4;3;0;0;0;1
3;1;5;6;0;2;0;2;0;0;0;1
2;1;5;26;1;1;0;1;0;0;0;1
6;2;5;9;3;1;1;2;0;0;0;1
3;9;5;4;3;3;2;2;0;0;0;1
1;2;5;1;2;1;1;0;0;0;0;1
2;7;5;6;4;0;1;2;0;0;0;1
2;1;4;17;7;1;1;3;0;0;0;1
2;1;4;33;6;3;1;2;0;0;0;1
1;1;4;10;2;1;1;2;0;0;0;1
0;2;4;6;2;0;1;0;0;0;0;1
4;10;4;21;3;0;0;1;0;0;0;1
1;0;4;3;5;3;1;1;0;0;0;1
1;1;4;6;2;1;1;1;0;0;0;1
0;4;4;9;1;3;1;1;0;0;0;1
0;0;4;7;6;3;1;1;0;0;0;1
0;0;4;16;3;2;1;0;0;0;0;1
2;9;4;19;0;1;0;0;0;0;0;1
1;2;4;12;3;1;1;2;0;0;0;1
2;2;4;4;3;0;2;1;0;0;0;1
1;1;4;15;4;1;1;1;0;0;0;1
3;3;3;20;5;4;4;2;0;0;0;1
1;2;3;7;2;0;1;1;0;0;0;1
2;2;3;14;4;0;0;0;0;0;0;1
2;2;3;14;4;0;0;0;0;0;0;1
1;1;3;1;1;3;1;1;0;0;0;1
3;2;3;18;4;2;4;3;0;0;0;1
0;0;3;11;2;1;3;3;0;0;0;1
2;0;3;2;6;1;1;1;0;0;0;1
5;9;3;1;1;0;2;3;0;0;0;1
1;1;3;2;4;2;1;2;0;0;0;1
2;0;3;10;2;5;3;1;0;0;0;1
14;42;68;105;53;11;0;4;0;0;1;0
16;11;89;127;6;9;8;9;0;0;1;0
10;24;26;109;24;4;2;7;0;0;1;0
1;11;7;119;4;2;1;0;0;0;1;0
17;48;104;75;14;3;4;9;0;0;1;0
9;28;119;29;9;0;2;5;0;0;1;0
0;4;3;110;29;9;3;1;0;0;1;0
7;18;12;124;6;1;0;2;0;0;1;0
8;10;47;114;8;11;5;5;0;0;1;0
12;22;122;46;38;20;11;11;0;0;1;0
12;24;14;126;35;4;3;6;0;0;1;0
9;24;75;109;32;16;8;6;0;0;1;0
4;17;34;126;8;1;1;2;0;0;1;0
16;32;61;103;43;3;4;8;0;0;1;0
4;3;13;105;28;7;3;5;0;0;1;0
28;60;102;99;5;17;12;14;0;0;1;0
17;24;54;111;42;1;5;9;0;0;1;0
7;0;42;114;25;12;3;5;0;0;1;0
2;17;109;106;12;6;0;1;0;0;1;0
31;23;53;102;21;21;15;19;0;0;1;0
10;55;82;124;21;10;1;4;0;0;1;0
2;11;8;112;4;4;1;0;0;0;1;0
5;2;107;15;5;1;1;2;0;0;1;0
15;22;24;118;12;11;7;10;0;0;1;0
35;78;127;58;17;35;18;21;0;0;1;0
22;28;48;109;70;35;19;16;0;0;1;0
12;64;127;47;40;13;8;8;0;0;1;0
8;2;46;101;36;10;4;5;0;0;1;0
22;5;36;123;31;28;16;14;0;0;1;0
5;14;102;60;57;19;6;5;0;0;1;0
5;32;89;111;17;12;7;1;0;0;1;0
12;19;70;111;16;9;7;7;0;0;1;0
32;63;121;53;18;21;16;18;0;0;1;0
2;11;102;44;4;1;3;1;0;0;1;0
41;65;127;67;17;31;20;25;0;0;1;0
35;38;114;57;27;29;20;21;0;0;1;0
65;66;127;124;38;9;17;31;0;0;1;0
62;115;19;2;15;48;33;38;0;0;1;0
22;20;100;127;5;6;10;14;0;0;1;0
5;17;108;4;9;0;1;2;0;0;1;0
39;60;57;101;44;37;24;23;0;0;1;0
2;1;21;114;14;2;3;0;0;0;1;0
8;10;50;116;2;2;2;3;0;0;1;0
2;25;127;127;1;7;4;2;0;0;1;0
4;12;109;26;1;0;2;2;0;0;1;0
2;12;108;42;0;1;2;1;0;0;1;0
5;10;106;14;16;6;3;3;0;0;1;0
31;22;112;68;4;15;11;17;0;0;1;0
13;59;109;105;4;19;12;7;0;0;1;0
24;45;15;127;33;1;4;9;0;0;1;0
12;22;51;106;21;11;8;9;0;0;1;0
33;61;98;127;37;10;10;15;0;0;1;0
32;25;86;102;25;21;18;21;0;0;1;0
4;1;90;114;50;12;6;5;0;0;1;0
4;12;110;9;27;7;4;3;0;0;1;0
40;53;101;46;53;47;28;28;0;0;1;0
34;26;127;71;15;26;16;19;0;0;1;0
1;8;102;32;1;5;2;1;0;0;1;0
15;22;14;127;8;13;7;11;0;0;1;0
23;40;5;116;25;21;13;13;0;0;1;0
23;49;99;106;14;16;9;12;0;0;1;0
1;2;47;122;5;2;3;3;0;0;1;0
25;65;19;109;15;17;10;13;0;0;1;0
5;27;122;45;28;8;2;1;0;0;1;0
17;39;10;101;35;17;7;8;0;0;1;0
13;13;103;92;28;19;11;11;0;0;1;0
8;2;74;127;19;2;4;7;0;0;1;0
15;17;117;96;14;14;6;9;0;0;1;0
23;32;105;19;18;25;16;15;0;0;1;0
4;14;113;44;11;4;2;3;0;0;1;0
2;11;27;103;9;0;0;1;0;0;1;0
9;12;126;64;4;16;7;8;0;0;1;0
16;24;39;112;43;8;9;12;0;0;1;0
5;28;105;66;27;2;4;14;0;0;1;0
