In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
-68;52;6;127;3;-7;-41;-22;0;0;0;0
23;113;23;56;17;24;82;-6;0;0;0;0
2;43;-1;113;-70;-15;53;26;0;0;0;0
7;13;2;92;14;2;4;6;0;0;0;0
-60;-3;21;23;-6;23;118;8;0;0;0;0
-38;-11;17;13;20;37;73;99;0;0;0;0
39;-29;-4;-10;3;11;127;-5;0;0;0;0
24;58;2;113;52;22;13;14;0;0;0;0
-11;-38;-16;-15;100;27;8;-1;0;0;0;0
127;28;34;46;22;27;93;-124;0;0;0;0
3;-56;23;60;6;1;-60;100;0;0;0;0
10;127;58;80;8;4;65;109;0;0;0;0
10;107;16;67;2;23;49;45;0;0;0;0
97;37;32;-31;-23;22;81;4;0;0;0;0
-47;-18;-6;108;-23;-11;127;-33;0;0;0;0
90;103;-20;-10;3;10;54;-19;0;0;0;0
47;43;32;100;47;1;5;55;0;0;0;0
-23;96;-15;-114;-20;-29;-128;-52;0;0;0;0
81;74;24;127;-22;-2;122;34;0;0;0;0
-52;-31;21;102;15;43;127;-55;0;0;0;0
87;-128;31;127;-27;-9;63;-67;0;0;0;0
-72;60;-22;98;-32;-13;-6;34;0;0;0;0
-9;106;53;115;-20;-6;53;-43;0;0;0;0
-27;83;56;42;-28;24;97;-48;0;0;0;0
71;99;1;-38;-6;-13;-7;-109;0;0;0;0
-34;61;11;35;-24;-23;124;92;0;0;0;0
-8;45;-23;54;18;7;61;105;0;0;0;0
77;55;51;99;-17;-5;-52;-51;0;0;0;0
-47;80;0;62;23;28;91;-34;0;0;0;0
79;94;37;2;-25;-23;-35;62;0;0;0;0
34;114;56;69;-29;8;-12;67;0;0;0;0
76;100;66;72;-15;38;127;-40;0;0;0;0
-90;25;45;127;-20;-15;-36;-31;0;0;0;0
69;-67;48;113;-45;-8;34;2;0;0;0;0
98;127;67;63;-24;-6;19;34;0;0;0;0
94;94;99;127;-7;5;-10;-106;0;0;0;0
9;95;17;35;-10;1;3;8;0;0;0;0
60;127;15;-62;85;45;110;-37;0;0;0;0
45;100;57;66;-10;5;0;43;0;0;0;0
52;43;24;-45;-4;16;118;72;0;0;0;0
57;127;66;19;-30;-16;-2;-108;0;0;0;0
-2;97;21;35;6;15;-33;-4;0;0;0;0
7;-72;-17;96;-10;4;-73;-6;0;0;0;0
-51;-13;-18;7;20;-10;101;-12;0;0;0;0
127;55;36;-56;19;47;127;37;0;0;0;0
127;127;78;127;-70;4;118;45;0;0;0;0
1;78;-16;30;-4;-11;100;96;0;0;0;0
-22;17;-20;-65;-7;-3;102;40;0;0;0;0
44;98;-4;-8;-33;-12;37;11;0;0;0;0
83;71;25;127;-36;9;127;19;0;0;0;0
42;126;95;114;-87;-43;-128;15;0;0;0;0
-62;125;-30;-105;23;13;-51;10;0;0;0;0
25;87;61;95;17;12;127;-13;0;0;0;0
101;127;17;14;26;22;127;58;0;0;0;0
-66;36;20;100;22;9;-47;-41;0;0;0;0
18;66;3;24;-16;-11;118;29;0;0;0;0
3;38;31;91;-6;-9;-57;-37;0;0;0;0
47;93;19;74;-66;-26;13;-55;0;0;0;0
31;88;36;-19;-17;6;104;41;0;0;0;0
39;25;-54;-62;10;25;111;84;0;0;0;0
28;47;39;126;-7;14;83;112;0;0;0;0
42;21;18;-30;-27;-5;98;-14;0;0;0;0
30;70;10;11;15;14;91;87;0;0;0;0
-3;-2;28;107;17;-8;-38;0;0;0;0;0
-19;-91;-10;57;-5;5;127;-23;0;0;0;0
2;-42;-20;-44;3;9;114;29;0;0;0;0
17;83;-15;-108;-1;13;127;53;0;0;0;0
111;75;14;10;3;6;22;41;0;0;0;0
127;35;13;-26;-20;14;98;71;0;0;0;0
112;51;47;6;34;20;-8;-43;0;0;0;0
-81;-74;-71;91;-33;-22;-79;-3;0;0;0;0
5;123;18;21;8;5;60;15;0;0;0;0
-34;120;41;46;43;16;110;-43;0;0;0;0
100;71;57;119;-17;37;95;91;0;0;0;0
92;-56;3;28;-11;15;75;35;0;0;0;0
96;46;36;29;6;38;107;11;0;0;0;0
-28;91;-14;4;15;21;83;-22;0;0;0;0
26;127;17;51;-11;33;98;65;0;0;0;0
6;127;64;127;-22;25;107;-92;0;0;0;0
104;127;54;68;16;14;-11;28;0;0;0;0
54;127;25;26;-6;-5;65;27;0;0;0;0
-49;-128;-103;-128;96;-9;-128;5;0;0;0;0
93;-61;6;-13;53;-6;-106;-113;0;0;0;0
127;112;88;124;-20;25;44;121;0;0;0;0
9;-78;10;108;-28;-5;8;-67;0;0;0;0
-102;97;95;-66;-9;31;55;12;0;0;0;0
9;54;-7;103;-42;-24;-79;-60;0;0;0;0
68;115;37;-22;12;-17;-102;-52;0;0;0;0
-69;-68;-43;103;12;23;75;-85;0;0;0;0
-14;-17;47;-21;40;19;-18;98;0;0;0;0
44;68;16;-23;7;31;124;-4;0;0;0;0
25;15;-20;46;5;26;127;51;0;0;0;0
109;67;64;49;-2;16;45;-65;0;0;0;0
100;21;7;35;-2;2;105;-39;0;0;0;0
42;127;-2;-3;-8;11;-17;40;0;0;0;0
43;100;67;118;-12;0;-6;-19;0;0;0;0
39;11;-1;-34;2;5;95;-23;0;0;0;0
98;99;20;39;20;56;127;-12;0;0;0;0
11;6;9;-32;3;24;93;-9;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0
